semester,day,room,building,teacher,hours,course_name,school_and_faculty,course_type,course_number
א',ב',223 ,גילמן,פרופ מלכין עירד,1800 - 1600,העולם היווני בתקופה הארכאית והקלאסית,מדעי הרוח/היסטוריה כללית ,שיעור,0621-1168-01
א',ג',012 ,"ביה""ס לכלכלה",פרופ וטשטיין דוד,1300 - 1100,"תמריצים, אינפורמציה וחוזים",מדעי החברה/ביה''ס לכלכלה ,שיעור ות,1011-3549-01
א',ד',    ,None,פרופ אפק ארנון,1015 - 0815,מבוא למערכות בריאות,הנדסה/תכנית מנהל מערכות בריאות ,שיעור ות,1233-2110-01
ב',ה',223 ,גילמן,"ד""ר פרויס אורי",1200 - 1000,אמריקה הלטינית במאה ה-19,מדעי הרוח/היסטוריה כללית ,שיעור,0621-1171-01
ב',א',011 ,"ביה""ס לכלכלה","ד""ר גולדברג דרור",1500 - 1300,הסטוריה כלכלית,מדעי החברה/ביה''ס לכלכלה ,שיעור ות,1011-3550-01
קיץ ,ד',    ,None,פרופ גלזר יעקב,1530 - 0815,כלכלת בריאות,מדעים מדויקים/תכנית מנהל מערכות בריאות ,שיעור ות,1233-2111-01
ב',ג',223 ,גילמן,"ד""ר טייכר אמיר",1800 - 1600,"רפובליקת ויימאר - בין ""גן העדן האבוד"" ל""כרוניקה של מוות ידוע""",מדעי הרוח/היסטוריה כללית ,שיעור,0621-1173-01
א',ב',008 ,"ביה""ס לכלכלה","ד""ר בנימיני יעל",1200 - 1000,סמינר רגיל,מדעי החברה/ביה''ס לכלכלה ,סמינר,1011-3560-01
"א'
א'
א'","ד'
ד'
ד'","    
    
    ","None
None
None",פרופ רונן בועז,"1900 - 0900
1830 - 1315
1900 - 1315",תפעול מערכות בריאות,ניהול/תכנית מנהל מערכות בריאות ,"שיעור ות
שיעור ות
שיעור ות",1233-2207-01
ב',ב',223 ,גילמן,פרופ פרייס יונתן,1400 - 1200,מלחמת האזרחים ביוון ורומא,מדעי הרוח/היסטוריה כללית ,שיעור,0621-1206-01
א',א',008 ,"ביה""ס לכלכלה",פרופ אלדור רפאל,1000 - 0800,סמינר רגיל,מדעי החברה/ביה''ס לכלכלה ,סמינר,1011-3560-02
ב',ד',    ,None,פרופ שני מרדכי,1015 - 0815,ארגון שרותי הבריאות בעולם,מדעים מדויקים/תכנית מנהל מערכות בריאות ,שיעור,1233-2210-01
ב',ב',144 ,גילמן,פרופ מלמן בלהה,1200 - 1000,"להיות מודרנים: חיים, תרבות ופוליטיקה 2017-1750",מדעי הרוח/היסטוריה כללית ,שיעור,0621-1207-01
א',ג',008 ,"ביה""ס לכלכלה","ד""ר חגאי זיו",2100 - 1900,סמינר רגיל,מדעי החברה/ביה''ס לכלכלה ,סמינר,1011-3560-03
א',None,    ,None,פרופ גלזר יעקב,None,המטופל במרכז,ניהול/תכנית מנהל מערכות בריאות ,שיעור,1233-2222-01
ב',ג',223 ,גילמן,פרופ אלגזי גד יעקב,1200 - 1000,"היסטוריה עולמית קטנה, 1800-1300",מדעי הרוח/היסטוריה כללית ,שיעור,0621-1220-01
ב',א',008 ,"ביה""ס לכלכלה",פרופ אלדור רפאל,1000 - 0800,סמינר רגיל,מדעי החברה/ביה''ס לכלכלה ,סמינר,1011-3560-05
ב',ד',    ,None,"ד""ר אש נחמן",1700 - 1415,ניהול טכנולוגיות רפואיות,ניהול/תכנית מנהל מערכות בריאות ,שיעור,1233-3000-01
א',ב',102 ,כיתות דן דוד,"ד""ר כהן הנגבי נעמה רחל",1600 - 1200,"חברה, משטר ותרבות בימי הביניים",מדעי הרוח/היסטוריה כללית ,שיעור ות,0621-1301-01
ב',ב',008 ,"ביה""ס לכלכלה","ד""ר בנימיני יעל",1200 - 1000,סמינר רגיל,מדעי החברה/ביה''ס לכלכלה ,סמינר,1011-3560-06
ב',ד',    ,None,מר בליצר רן,1015 - 0815,ניהול האיכות בשירותי הבריאות,מדעים מדויקים/תכנית מנהל מערכות בריאות ,שיעור,1233-3001-01
ב',א',304 ,גילמן,פרופ קליינברג אביעד,1600 - 1200,"חברה, משטר ותרבות בימי הביניים",מדעי הרוח/היסטוריה כללית ,שיעור ות,0621-1301-02
ב',ג',008 ,"ביה""ס לכלכלה","ד""ר חגאי זיו",2100 - 1900,סמינר רגיל,מדעי החברה/ביה''ס לכלכלה ,סמינר,1011-3560-07
"א'
א'","None
ד'","    
    ","None
None","ד""ר אלרז-שפירא יעל","None
1830 - 0815",מנהיגות בניהול אנשים,ניהול/תכנית מנהל מערכות בריאות ,"שיעור
שיעור",1233-3003-01
ב',ב',449 ,גילמן,"ד""ר כהן הנגבי נעמה רחל",1600 - 1200,"חברה, משטר ותרבות בימי הביניים",מדעי הרוח/היסטוריה כללית ,שיעור ות,0621-1301-03
א',ג',    ,None,  ,1200 - 1000,"סמינר נוסף לפכ""מ",מדעי החברה/ביה''ס לכלכלה ,סמינר,1011-3561-04
ב',ד',    ,None,פרופ גמזו רוני,2000 - 1715,עבודת שדה למערכות בריאות,ניהול/תכנית מנהל מערכות בריאות ,סמינר,1233-4101-01
א',ד',223 ,גילמן,פרופ מאלי יוסף,1400 - 1200,העשייה ההיסטורית לסוגיה,מדעי הרוח/היסטוריה כללית ,שיעור,0621-1400-01
א',ב',    ,None,  ,1200 - 1000,"סמינר נוסף לפכ""מ",מדעי החברה/ביה''ס לכלכלה ,סמינר,1011-3561-08
"א'
א'
א'","ד'
ב'
ג'","254 
254 
254 ","רקנאטי
רקנאטי
רקנאטי","ד""ר אטר איתי
מר יוסף ניר","1100 - 0815
1100 - 0945
1815 - 1700",Introduction to Microeconomics,מדעי החברה ,"שיעור
שיעור
שיעור",1238-2210-01
א',ג',458 ,גילמן,פרופ אלגזי גד יעקב,1200 - 0800,סדנת חשיבה היסטורית,מדעי הרוח/היסטוריה כללית ,שיעור ות,0621-1440-01
א',ב',008 ,"ביה""ס לכלכלה",פרופ ישיב ערן,1800 - 1600,סמינריון מורחב,מדעי החברה/ביה''ס לכלכלה ,סמינר,1011-3562-01
א',None,    ,None,  ,None,Introduction to Microeconomics,ניהול ,תרגיל,1238-2210-10
א',ב',209 ,כיתות דן דוד,"ד""ר רבינוביץ עודד",1400 - 1000,סדנת חשיבה היסטורית,מדעי הרוח/היסטוריה כללית ,שיעור ות,0621-1440-02
א',ב',101 ,"ביה""ס לכלכלה","ד""ר וייס דוד",1200 - 1000,סמינריון מורחב,מדעי החברה/ביה''ס לכלכלה ,סמינר,1011-3562-02
"א'
א'
א'
א'","ג'
ה'
ב'
ד'","254 
254 
254 
254 ","רקנאטי
רקנאטי
רקנאטי
רקנאטי","גב' אפוטה-שפר נטלי
ד""ר לוי ירדן דינו","1345 - 1230
1345 - 1230
1715 - 1430
1415 - 1130",Statistics for Business and Management,ניהול ,"שיעור
שיעור
שיעור
שיעור",1238-2211-01
א',א',101 ,"ביה""ס לשפות","ד""ר לייבנר חררדו",1600 - 1200,סדנת חשיבה היסטורית,מדעי הרוח/היסטוריה כללית ,שיעור ות,0621-1440-03
א',א',008 ,"ביה""ס לכלכלה",פרופ חזן משה,1600 - 1400,סמינריון מורחב,מדעי החברה/ביה''ס לכלכלה ,סמינר,1011-3562-03
א',None,    ,None,  ,None,Statistics for Business and Management,ניהול ,תרגיל,1238-2211-10
א',ה',458 ,גילמן,"ד""ר טייכר אמיר",1200 - 0800,סדנת חשיבה היסטורית,מדעי הרוח/היסטוריה כללית ,שיעור ות,0621-1440-04
א',ג',008 ,"ביה""ס לכלכלה","ד""ר סטי עופר עדי",1200 - 1000,סמינריון מורחב,מדעי החברה/ביה''ס לכלכלה ,סמינר,1011-3562-04
"א'
ב'","ג'
ג'","    
    ","None
None",  ,"1515 - 1230
1515 - 1230",Managing Organizational Behavior,ניהול ,"שיעור
שיעור",1238-2212-01
"א'
א'","ב'
ה'","497 
306 ","גילמן
גילמן",פרופ כץ דוד,"1600 - 1400
1600 - 1400",חברה משטר ותרבות בעת החדשה המוקדמת,מדעי הרוח/היסטוריה כללית ,"שיעור ות
שיעור ות",0621-1501-01
א',ה',008 ,"ביה""ס לכלכלה",פרופ פוזנר עדי,1600 - 1400,סמינריון מורחב,מדעי החברה/ביה''ס לכלכלה ,סמינר,1011-3562-05
"א'
ב'","ג'
ג'","    
    ","None
None",פרופ סמילנסקי יונתן,"1200 - 0945
1200 - 0945",Career Management Series,ניהול ,"שיעור
שיעור",1238-2213-01
ב',ב',304 ,גילמן,פרופ הרציג תמר,1600 - 1200,חברה משטר ותרבות בעת החדשה המוקדמת,מדעי הרוח/היסטוריה כללית ,שיעור ות,0621-1501-03
א',ג',009 ,"ביה""ס לכלכלה","ד""ר וייסבורד שרית",1200 - 1000,סמינריון מורחב,מדעי החברה/ביה''ס לכלכלה ,סמינר,1011-3562-06
"א'
א'
א'","ד'
ה'
ג'","254 
254 
254 ","רקנאטי
רקנאטי
רקנאטי","מר זידאני מוחמד
ד""ר לוי שי
ד""ר קמה איתי","1230 - 1115
1200 - 0915
1200 - 0915",Financial Accounting,ניהול ,"שיעור
שיעור
שיעור",1238-2321-01
ב',ה',144 ,גילמן,פרופ כץ דוד,1800 - 1600,תולדות הנצרות: 2017-1350,מדעי הרוח/היסטוריה כללית ,שיעור,0621-1542-01
א',ד',008 ,"ביה""ס לכלכלה","ד""ר בירד דניאל",1400 - 1200,סמינריון מורחב,מדעי החברה/ביה''ס לכלכלה ,סמינר,1011-3562-07
א',None,    ,None,  ,None,Financial Accounting,ניהול ,תרגיל,1238-2321-10
"א'
א'","ב'
ה'","323 
209 ","גילמן
כיתות דן דוד","ד""ר קפלן ורה","1200 - 1000
1200 - 1000",חברה משטר ותרבות במאה ה-19,מדעי הרוח/היסטוריה כללית ,"שיעור ות
שיעור ות",0621-1685-01
א',ב',    ,None,"ד""ר ספורטא אקשטין איתי",1200 - 1000,סמינריון מורחב,מדעי החברה/ביה''ס לכלכלה ,סמינר,1011-3562-08
א',ב',254 ,רקנאטי,"ד""ר סטטנר אוריאל שמעון",1100 - 0815,Principles of Strategy,ניהול ,שיעור,1238-2322-01
"א'
א'","א'
ד'","307 
307 ","גילמן
גילמן",פרופ רחמימוב איריס,"1400 - 1200
1400 - 1200",חברה משטר ותרבות במאה ה-19,מדעי הרוח/היסטוריה כללית ,"שיעור ות
שיעור ות",0621-1685-02
א',ג',008 ,"ביה""ס לכלכלה",פרופ וטשטיין דוד,1500 - 1300,סמינריון מורחב,מדעי החברה/ביה''ס לכלכלה ,סמינר,1011-3562-09
"א'
א'
א'
א'","ב'
ג'
ה'
ה'","254 
254 
254 
254 ","רקנאטי
רקנאטי
רקנאטי
רקנאטי","ד""ר מופקדי טל
מר שרוני איתי","1715 - 1430
1645 - 1400
1515 - 1400
1645 - 1530",Introduction to Finance,מדעי הרוח ,"שיעור
שיעור
שיעור
שיעור",1238-2410-01
"ב'
ב'","ב'
ה'","450 
450 ","גילמן
גילמן","ד""ר קפלן ורה","1200 - 1000
1200 - 1000",חברה משטר ותרבות במאה ה-19,מדעי הרוח/היסטוריה כללית ,"שיעור ות
שיעור ות",0621-1685-03
ב',ד',008 ,"ביה""ס לכלכלה",פרופ דקל עדי,1400 - 1200,סמינריון מורחב,מדעי החברה/ביה''ס לכלכלה ,סמינר,1011-3562-11
א',None,    ,None,  ,None,Introduction to Finance,ניהול ,תרגיל,1238-2410-10
"א'
א'","ב'
ד'","306 
306 ","גילמן
גילמן",פרופ זכים מיכאל,"1400 - 1200
1400 - 1200","חברה, משטר ותרבות בארצות הברית",מדעי הרוח/היסטוריה כללית ,"שיעור ות
שיעור ות",0621-1687-01
ב',ב',009 ,"ביה""ס לכלכלה","ד""ר וייס דוד",1200 - 1000,סמינריון מורחב,מדעי החברה/ביה''ס לכלכלה ,סמינר,1011-3562-12
א',ה',303 ,כיתות דן דוד,  ,1515 - 1230,Management of Information Systems,ניהול ,שיעור,1238-2411-01
"א'
א'","א'
ד'","305 
305 ","גילמן
גילמן","ד""ר שטרנהל יעל","1400 - 1200
1400 - 1200","חברה, משטר ותרבות בארצות הברית",מדעי הרוח/היסטוריה כללית ,"שיעור ות
שיעור ות",0621-1687-02
ב',ג',008 ,"ביה""ס לכלכלה","ד""ר סטי עופר עדי",1200 - 1000,סמינריון מורחב,מדעי החברה/ביה''ס לכלכלה ,סמינר,1011-3562-13
ב',ד',303 ,כיתות דן דוד,פרופ אביב יוסי,1830 - 1545,Introduction to Value Creation,מדעי החברה ,שיעור,1238-2412-01
"ב'
ב'","ב'
ד'","306 
306 ","גילמן
גילמן",פרופ זכים מיכאל,"1400 - 1200
1400 - 1200","חברה, משטר ותרבות בארצות הברית",מדעי הרוח/היסטוריה כללית ,"שיעור ות
שיעור ות",0621-1687-03
ב',ה',008 ,"ביה""ס לכלכלה",פרופ פוזנר עדי,1600 - 1400,סמינריון מורחב,מדעי החברה/ביה''ס לכלכלה ,סמינר,1011-3562-15
א',ב',254 ,רקנאטי,"ד""ר לסרי לירז",1400 - 1115,Marketing Management,מדעי החברה ,שיעור,1238-2413-01
א',ה',305 ,גילמן,"ד""ר פרויס אורי",1400 - 1000,"חברה, משטר ותרבות באמריקה הלטינית",מדעי הרוח/היסטוריה כללית ,שיעור ות,0621-1688-01
ב',ג',009 ,"ביה""ס לכלכלה","ד""ר וייסבורד שרית",1200 - 1000,סמינריון מורחב,מדעי החברה/ביה''ס לכלכלה ,סמינר,1011-3562-16
א',ה',254 ,רקנאטי,"ד""ר שמיר יוליה",1200 - 0915,Business Ethics,ניהול ,שיעור,1238-2415-01
"ב'
ב'","ב'
ד'","305 
305 ","גילמן
גילמן","ד""ר לייבנר חררדו","1200 - 1000
1200 - 1000","חברה, משטר ותרבות באמריקה הלטינית",מדעי הרוח/היסטוריה כללית ,"שיעור ות
שיעור ות",0621-1688-02
ב',ד',008 ,"ביה""ס לכלכלה","ד""ר ספורטא אקשטין איתי",1200 - 1000,סמינריון מורחב,מדעי החברה/ביה''ס לכלכלה ,סמינר,1011-3562-17
ב',ב',303 ,כיתות דן דוד,"ד""ר קליש יובל",2130 - 1845,Leadership,ניהול ,שיעור,1238-3016-01
א',ג',362 ,גילמן,"ד""ר שפירא מיכל",1800 - 1400,"חברה, משטר ותרבות  במאה ה-20",מדעי הרוח/היסטוריה כללית ,שיעור ות,0621-1690-01
ב',ג',101 ,"ביה""ס לכלכלה",פרופ חזן משה,1200 - 1000,סמינריון מורחב,מדעי החברה/ביה''ס לכלכלה ,סמינר,1011-3562-18
ב',א',303 ,כיתות דן דוד,גב' מושיוף שרון,1830 - 1545,Leading Change in the Global Organization,ניהול ,שיעור,1238-3120-01
א',ד',262 ,גילמן,"ד""ר אילני עפרי",1800 - 1400,"חברה, משטר ותרבות  במאה ה-20",מדעי הרוח/היסטוריה כללית ,שיעור ות,0621-1690-02
ב',ב',008 ,"ביה""ס לכלכלה",פרופ פרשטמן חיים,1600 - 1400,סמינריון מורחב,מדעי החברה/ביה''ס לכלכלה ,סמינר,1011-3562-19
ב',ו',303 ,כיתות דן דוד,"ד""ר קומן אלכסנדר",1100 - 0815,Project Management,ניהול ,שיעור,1238-3213-01
ב',ה',307 ,גילמן,פרופ חלפין יגאל,1800 - 1400,"חברה, משטר ותרבות  במאה ה-20",מדעי הרוח/היסטוריה כללית ,שיעור ות,0621-1690-03
ב',ד',009 ,"ביה""ס לכלכלה","ד""ר זלצר דן",1200 - 1000,סמינריון מורחב,מדעי החברה/ביה''ס לכלכלה ,סמינר,1011-3562-20
"ב'
ב'","ב'
ה'","    
    ","None
None",פרופ דנציגר שי,"2130 - 1845
2130 - 1845",Consumer Behavior,ניהול ,"שיעור
שיעור",1238-3402-01
"ב'
ב'","א'
ד'","307 
307 ","גילמן
גילמן","ד""ר טייכר אמיר","1200 - 1000
1200 - 1000","חברה, משטר ותרבות  במאה ה-20",מדעי הרוח/היסטוריה כללית ,"שיעור ות
שיעור ות",0621-1690-04
ב',ד',009 ,"ביה""ס לכלכלה","ד""ר בירד דניאל",1400 - 1200,סמינריון מורחב,מדעי החברה/ביה''ס לכלכלה ,סמינר,1011-3562-21
ב',ג',303 ,כיתות דן דוד,גב' ברנד-לוין דלית,1830 - 1545,Fundamentals in New Product Innovation,מדעי החברה ,שיעור,1238-3453-01
"ב'
ב'","ב'
ד'","307 
307 ","גילמן
גילמן","ד""ר שפר שגיא","1400 - 1200
1400 - 1200","חברה, משטר ותרבות  במאה ה-20",מדעי הרוח/היסטוריה כללית ,"שיעור ות
שיעור ות",0621-1690-05
ב',א',008 ,"ביה""ס לכלכלה",פרופ אליעז כפיר,1800 - 1600,סמינריון מורחב,מדעי החברה/ביה''ס לכלכלה ,סמינר,1011-3562-22
ב',ה',303 ,כיתות דן דוד,"ד""ר צביליחובסקי דוד",1530 - 1245,Technology Ventures: From Idea to Execution,ניהול ,שיעור,1238-3604-01
"ב'
ב'","None
ה'","    
449 ","None
גילמן","  
פרופ זכים מיכאל","None
1600 - 1400",תולדות הגוף המודרני,מדעי הרוח/היסטוריה כללית ,"שיעור
שיעור",0621-1889-01
ב',ב',008 ,"ביה""ס לכלכלה",פרופ נאמן צבי,1400 - 1200,סמינריון מורחב,מדעי החברה/ביה''ס לכלכלה ,סמינר,1011-3562-23
א',None,303 ,כיתות דן דוד,"ד""ר צביליחובסקי דוד",1800 - 0900,Lessons from Israeli Innovation,ניהול ,שיעור,1238-3606-01
"א'
א'","ב'
ד'","262 
262 ","גילמן
גילמן",פרופ מלכין עירד,"1400 - 1200
1400 - 1200",מיתוס והיסטוריה: עולמן של האיליאדה והאודיסאה,מדעי הרוח/היסטוריה כללית ,"סמינר
סמינר",0621-2058-01
ב',ב',101 ,"ביה""ס לכלכלה","ד""ר שלוסר אנליה לאורה",1200 - 1000,סמינריון מורחב,מדעי החברה/ביה''ס לכלכלה ,סמינר,1011-3562-24
"ב'
ב'","ב'
ה'","303 
303 ","כיתות דן דוד
כיתות דן דוד",פרופ שריפט רום,"2130 - 1845
2130 - 1845",The Systematic Approach to Creativity,ניהול ,"שיעור
שיעור",1238-4773-01
"ב'
ב'","ד'
ה'","320 
320 ","גילמן
גילמן",פרופ הוניגמן סילבי,"1600 - 1400
1600 - 1400",מגדר ומיניות ביוון העתיקה,מדעי הרוח/היסטוריה כללית ,"סמינר
סמינר",0621-2062-01
"ב'
ב'","א'
ג'","001 
001 ","ביה""ס לכלכלה
ביה""ס לכלכלה",פרופ אליעז כפיר,"1200 - 0900
1200 - 0900",תורת המשחקים וכלכלת אינפורמציה א',מדעי החברה/ביה''ס לכלכלה ,"שיעור ות
שיעור ות",1011-4101-01
ב',ב',    ,None,פרופ תאני יחיאל דב,2130 - 1845,פיתוח ושילוב מערכות ויישומים,ניהול/מדעי הניהול-מערכות מידע ,שיעור ות,1242-2201-01
א',ג',361א,גילמן,"ד""ר כהן הנגבי נעמה רחל",1200 - 0800,"חברה, כנסיה ותרבות בקסטיליה  במאות ה-12 עד ה-15",מדעי הרוח/היסטוריה כללית ,סמינר,0621-2421-01
"ב'
ב'","א'
ג'","001 
001 ","ביה""ס לכלכלה
ביה""ס לכלכלה",פרופ אליעז כפיר,"1200 - 0900
1200 - 0900",תורת המשחקים וכלכלת אינפורמציה ב',מדעי החברה/ביה''ס לכלכלה ,"שיעור ות
שיעור ות",1011-4104-01
ב',ב',252 ,רקנאטי,"ד""ר שמר יצחק",1830 - 1715,מערכות מידע ואסטרטגיה עסקית,ניהול/מדעי הניהול-מערכות מידע ,שיעור ות,1242-2203-01
ב',ד',262 ,גילמן,פרופ אלגזי גד יעקב,1400 - 1000,חילופי מתנות: היסטוריה ואנתרופולוגיה,מדעי הרוח/היסטוריה כללית ,סמינר,0621-2422-01
ב',ה',001 ,"ביה""ס לכלכלה","ד""ר סטי עופר עדי",1330 - 1100,תאוריה מאקרו כלכלית ב',מדעי החברה/ביה''ס לכלכלה ,שיעור,1011-4108-01
א',ב',253 ,רקנאטי,"ד""ר אור-גד משה",2130 - 1845,ניהול משאב המידע,ניהול/מדעי הניהול-מערכות מידע ,שיעור ות,1242-2219-01
ב',ב',209 ,רוזנברג,פרופ מאלי יוסף,1600 - 1200,הרומנטיקה: חולמים ולוחמים,מדעי הרוח/היסטוריה כללית ,סמינר,0621-2692-01
ב',ה',001 ,"ביה""ס לכלכלה",מר רבינוביץ אלון,1045 - 0900,תאוריה מאקרו כלכלית ב',מדעי החברה/ביה''ס לכלכלה ,תרגיל,1011-4108-02
א',ד',404 ,רקנאטי,"ד""ר הולצמן ורד",1830 - 1545,ניהול פרויקטים טכנולוגיים,אמנויות/מדעי הניהול-מערכות מידע ,שיעור,1242-3213-01
"ב'
ב'","ב'
ה'","497 
497 ","גילמן
גילמן","ד""ר קפלן ורה","1600 - 1400
1600 - 1400",מתנגדי השלטון ברוסיה הצארית: מי סלל את הדרך למהפכה?,מדעי הרוח/היסטוריה כללית ,"סמינר
סמינר",0621-2693-01
"א'
א'","א'
ב'","001 
001 ","ביה""ס לכלכלה
ביה""ס לכלכלה",פרופ גלבוע יצחק,"1200 - 1000
1200 - 1000",תאוריה מיקרו כלכלית,מדעי החברה/ביה''ס לכלכלה ,"שיעור
שיעור",1011-4111-01
ב',ב',252 ,רקנאטי,"ד""ר הולצמן ורד",1700 - 1545,ניהול פרויקטים טכנולוגיים,ניהול/מדעי הניהול-מערכות מידע ,שיעור,1242-3213-02
א',ב',361א,גילמן,פרופ הרציג תמר,1600 - 1200,עידן המרות הדת,מדעי הרוח/היסטוריה כללית ,סמינר,0621-2710-01
א',ב',101 ,"ביה""ס לכלכלה",פרופ גלבוע יצחק,1400 - 1200,תאוריה מיקרו כלכלית,מדעי החברה/ביה''ס לכלכלה ,תרגיל,1011-4111-02
ב',ג',    ,None,"ד""ר קוזלובסקי נמרוד",2130 - 1845,דיני אינטרנט והגנת מידע,מדעי הרוח/מדעי הניהול-מערכות מידע ,שיעור,1242-3241-01
א',ה',320 ,גילמן,"ד""ר רבינוביץ עודד",1400 - 1000,מבוא לתרבות הספר בעת החדשה המוקדמת,מדעי הרוח/היסטוריה כללית ,סמינר,0621-2733-01
א',ה',    ,None,"ד""ר פתיר אסף",1400 - 1000,תאוריה מאקרו כלכלית א',מדעי החברה/ביה''ס לכלכלה ,שיעור ות,1011-4116-01
א',ה',105 ,רקנאטי,"ד""ר גבע תומר",2130 - 1845,נושאים מתקדמים בכריית מידע וגילוי ידע,ניהול/מדעי הניהול-מערכות מידע ,שיעור,1242-3253-01
ב',ג',362א,גילמן,פרופ הרציג תמר,1200 - 0800,הרנסנס האיטלקי במאה ה-21,מדעי הרוח/היסטוריה כללית ,סמינר,0621-2734-01
א',א',101 ,"ביה""ס לכלכלה",פרופ צידון דניאל,1200 - 0900,"המשבר הפיננסי הנוכחי בראי התיאוריה, ההיסטוריה והמציאות",מדעי החברה/ביה''ס לכלכלה ,שיעור ות,1011-4167-01
ב',ה',    ,None,"ד""ר גבע תומר",2130 - 1845,נושאים מתקדמים בכריית מידע וגילוי ידע,ניהול/מדעי הניהול-מערכות מידע ,שיעור,1242-3253-02
ב',ה',362א,גילמן,פרופ קופרטי-צור נדין,1800 - 1400,"תרבות הסלונים בצרפת הטרום מודרנית, מאות ה-16 וה-17",מדעי הרוח/היסטוריה כללית ,סמינר,0621-2735-01
א',ה',    ,None,"ד""ר בן משה דן",1915 - 1530,אקונומטריקה א',מדעי החברה/ביה''ס לכלכלה ,שיעור ות,1011-4205-01
ב',ד',    ,None,מר זיסאפל זוהר,1830 - 1545,יזמות הייטק,הנדסה/מדעי הניהול-מערכות מידע ,שיעור,1242-3255-01
ב',None,    ,None,  ,None,האינדיאנים ברפובליקות ההיספנו-אמריקניות,מדעי הרוח/היסטוריה כללית ,סמינר,0621-3243-01
ב',א',101 ,"ביה""ס לכלכלה",פרופ סטרבצינסקי מישל,2000 - 1800,סוגיות בכלכלה ציבורית,מדעי החברה/ביה''ס לכלכלה ,שיעור ות,1011-4215-01
א',ג',405 ,רקנאטי,"ד""ר הראל יניב",2130 - 1845,אבטחה ולוחמת מידע בעולם אינטרנטי,אמנויות/מדעי הניהול-מערכות מידע ,שיעור,1242-3257-01
א',א',304 ,גילמן,פרופ נוה איל,1600 - 1200,החלום האמריקני - מיתוס ומציאות,מדעי הרוח/היסטוריה כללית ,סמינר,0621-3248-01
ב',ה',001 ,"ביה""ס לכלכלה","ד""ר ספורטא אקשטין איתי",1700 - 1400,אקונומטריקה 2,מדעי החברה/ביה''ס לכלכלה ,שיעור,1011-4218-01
ב',א',    ,None,"ד""ר גפן נפתלי",1830 - 1545,ניהול סיכונים ומודלים עסקיים בעולם הסייבר,ניהול/מדעי הניהול-מערכות מידע ,שיעור,1242-3259-01
א',ה',449 ,גילמן,פרופ מלמן בלהה,1400 - 1000,פריס ולונדון: בירות המודרניות 1950-1850,מדעי הרוח/היסטוריה כללית ,סמינר,0621-3274-01
ב',ה',001 ,"ביה""ס לכלכלה",מר קוניבסקי נדב,1900 - 1700,אקונומטריקה 2,מדעי החברה/ביה''ס לכלכלה ,תרגיל,1011-4218-02
א',ב',253 ,רקנאטי,"ד""ר ברזילי אוהד",2130 - 1845,פלטפורמות טכנולוגיות בעסקים,מדעי החברה/מדעי הניהול-מערכות מידע ,שיעור,1242-3260-01
"ב'
ב'","ב'
ה'","304 
304 ","גילמן
גילמן",פרופ זכים מיכאל,"1800 - 1600
1800 - 1600",תולדות המכונה,מדעי הרוח/היסטוריה כללית ,"סמינר
סמינר",0621-3280-01
ב',א',101 ,"ביה""ס לכלכלה",פרופ חזן משה,1700 - 1400,כלכלת משפחה ומאקרו כלכלה,מדעי החברה/ביה''ס לכלכלה ,שיעור ות,1011-4230-01
ב',ב',    ,None,"ד""ר ברזילי אוהד",2130 - 1845,פלטפורמות טכנולוגיות בעסקים,ניהול/מדעי הניהול-מערכות מידע ,שיעור,1242-3260-02
ב',ג',103 ,"ביה""ס לשפות","ד""ר שפירא מיכל",1800 - 1400,היסטוריה גלובאלית של מלחמת העולם השנייה: סוגיות היסטוריות ומגדריות,מדעי הרוח/היסטוריה כללית ,סמינר,0621-3281-01
ב',א',001 ,"ביה""ס לכלכלה","ד""ר וייס דוד",1400 - 1200,סמינר מחקרי לתלמידי מוסמך לכלכלה,מדעי החברה/ביה''ס לכלכלה ,סמינר,1011-4420-01
ב',ג',    ,None,מר כהן יאיר,2130 - 1845,ארכיטקטורת אבטחה והגנה בעולם הסייבר,מדעי החברה/מדעי הניהול-מערכות מידע ,שיעור,1242-3261-01
"א'
א'","ב'
ה'","320 
320 ","גילמן
גילמן","ד""ר קפלן ורה","1600 - 1400
1600 - 1400",החיים שאחרי: ההגליה וההגירה ברוסיה הצארית,מדעי הרוח/היסטוריה כללית ,"סמינר
סמינר",0621-3287-01
א',ג',304 ,רקנאטי,"ד""ר שמיר נועם",2130 - 1845,אסטרטגיה תפעולית,ניהול/מדעי הניהול-מערכות מידע ,שיעור,1242-3263-01
ב',ג',262 ,גילמן,פרופ חלפין יגאל,1800 - 1400,ייצוג מהפכה ומלחמה,מדעי הרוח/היסטוריה כללית ,סמינר,0621-3288-01
ב',ד',    ,None,"ד""ר שמיר נועם",1830 - 1545,אסטרטגיה תפעולית,מדעי החיים/מדעי הניהול-מערכות מידע ,שיעור,1242-3263-02
ב',ג',262 ,גילמן,"ד""ר טייכר אמיר",1200 - 0800,מדעי הגזע,מדעי הרוח/היסטוריה כללית ,סמינר,0621-3289-01
א',ב',403 ,רקנאטי,"ד""ר ברזילי אוהד",1830 - 1545,ניהול תוכנה בגישות רזות ואג'יליות,ניהול/מדעי הניהול-מערכות מידע ,שיעור,1242-3264-01
א',ג',362א,גילמן,"ד""ר וורמבולד פריץ",1200 - 0800,Aufbruch in Die Katastrophe גרמניה ערב מלחמת העולם הראשונה,מדעי הרוח/היסטוריה כללית ,סמינר,0621-3290-01
