building,day,teacher,school,room,semester,faculty,course_type,course_name,course_number,hours
מכסיקו,ד',גב' קרמסקי יעל,אמנות התאטרון ,206ב,א',אמנויות,עבודה מע,מכאניזם של מופע,0811-4038-01,1900 - 1500
קיקואין,ד',"ד""ר דגני רז אירית",אמנות התאטרון ,002 ,א',אמנויות,סמינר,הדיאלוג של בקט עם האמנויות הפלסטיות,0811-4045-01,1600 - 1400
מכסיקו,ד',"ד""ר דגני רז אירית",אמנות התאטרון ,206א,א',אמנויות,סמינר,הדיאלוג של בקט עם האמנויות הפלסטיות,0811-4045-01,1800 - 1600
מכסיקו,ד',"ד""ר אהרונסון-להבי שרון",אמנות התאטרון ,212 ,ב',אמנויות,סמינר,דת וחילון בתיאטרון: ימי הביניים והתיאטרון המודרני,0811-4046-01,2000 - 1600
מכסיקו,א',"ד""ר הררי דרור",אמנות התאטרון ,120 ,א',אמנויות,סמינר,"גוף, חיות, מופע",0811-4047-01,1800 - 1400
כיתות דן דוד,א',"ד""ר בן-שאול דפנה",אמנות התאטרון ,112 ,ב',אמנויות,סמינר,אתר המופע: מופעים תלויי-מקום ושיח המרחב,0811-4048-01,1800 - 1400
מכסיקו,ד',פרופ לב-אלגם שולמית,אמנות התאטרון ,209 ,א',אמנויות,סמינר,קולוקוויום,0811-4049-01,1600 - 1400
מכסיקו,ד',פרופ לב-אלגם שולמית,אמנות התאטרון ,212 ,ב',אמנויות,סמינר,קולוקוויום,0811-4049-01,1600 - 1400
מכסיקו,א',פרופ לב-אלגם שולמית,אמנות התאטרון ,200 ,ב',אמנויות,סמינר,יוצרות בקדמת הבמה: תיאטרון פמיניסטי בישראל,0811-4050-01,1400 - 1000
כיתות דן דוד,ד',"ד""ר שם טוב נפתלי",אמנות התאטרון ,203 ,ב',אמנויות,סמינר,פסטיבל עכו,0811-4051-01,1400 - 1000
None,ד',"ד""ר שם טוב נפתלי",אמנות התאטרון ,    ,ב',אמנויות,סמינר,פסטיבל עכו,0811-4051-01,1400 - 1000
None,ב',מר אבנרי עירא,אמנות התאטרון ,    ,א',אמנויות,עבודה מע,פרויקטים מתקדמים בבימוי,0811-4212-01,1000 - 0800
None,ב',מר אבנרי עירא,אמנות התאטרון ,    ,ב',אמנויות,עבודה מע,פרויקטים מתקדמים בבימוי,0811-4212-01,1000 - 0800
קיקואין,א',פרופ בילו גורצקה מרים,אמנות התאטרון ,002 ,א',אמנויות,עבודה מע,עיצוב ליוצרי תיאטרון,0811-4228-01,1300 - 1000
מכסיקו,ב',פרופ בילו גורצקה מרים,אמנות התאטרון ,213 ,ב',אמנויות,עבודה מע,עיצוב ליוצרי תיאטרון,0811-4228-01,1900 - 1600
None,ב',"ד""ר אלון חן",אמנות התאטרון ,    ,ב',אמנויות,מעבדה,פרויקטים מתקדמים במשחק,0811-4313-01,1200 - 0800
מכסיקו,ג',פרופ הניג אופירה,אמנות התאטרון ,207א,א',אמנויות,עבודה מע,תהליכי עבודה ויצירה בבימוי,0811-4314-01,1600 - 1200
מכסיקו,ד',פרופ הניג אופירה,אמנות התאטרון ,206ב,ב',אמנויות,עבודה מע,תהליכי עבודה ויצירה בבימוי,0811-4314-01,1900 - 1500
מכסיקו,ה',מר רול גד,אמנות התאטרון ,206ב,ב',אמנויות,עבודה מע,בימוי למתקדמים,0811-4539-01,1400 - 1000
None,None,  ,אמנות התאטרון ,    ,א',אמנויות,הדרכה אי,הנחיית תזה,0811-9988-01,None
None,None,  ,אמנות התאטרון ,    ,ב',אמנויות,הדרכה אי,הנחיית תזה,0811-9988-02,None
מכסיקו,ד',"ד""ר שם טוב נפתלי",הבעה ויצירה באמנויות ,208 ,א',אמנויות,שיעור,"אימפרוביזציה ככלי הבעה יצירתי באמנות, חינוך וטיפול",0813-4021-01,1800 - 1600
מכסיקו,ד',פרופ קינר(קיסינגר) גד,הבעה ויצירה באמנויות ,208 ,ב',אמנויות,שיעור,"היוצר ביצירתו: ייצירתם של שלושה יוצרים סקנדינביים - איבסן, סטרינדברג ,ברגמן",0813-4026-01,1000 - 0800
מכסיקו,ד',"ד""ר אופנהיים רועי",הבעה ויצירה באמנויות ,208 ,ב',אמנויות,שיעור,"""לנוע בלי לזוז"" - מחשבות על זמן, תנועה והבעה במוזיקה",0813-4027-01,1400 - 1200
מכסיקו,ד',"ד""ר שלם עמיאל שירלי",הבעה ויצירה באמנויות ,208 ,א',אמנויות,סמינר,המבט כמפתח פרשני,0813-5005-01,1600 - 1200
מכסיקו,ד',גב' בדש רינה,הבעה ויצירה באמנויות ,121 ,א',אמנויות,שיעור,קולני יותר ממילים,0813-6002-01,1200 - 0800
